รหัสสัญชาติ,รหัส icao
A01,AFG
A03,ALB
A04,DZA
A05,USA
A06,AGO
A07,ARG
A08,AUS
A09,AUT
A10,AND
A12,ALD
A13,ATG
A14,ARM
A15,AZE
A16,AIA
A17,ANT
A19,ATF
A20,AWB
A21,ASM
B01,BHS
B02,BHR
B03,BGD
B04,BRB
B07,BEL
B08,BMU
B09,BOL
B10,BWA
B11,BRA
B12,GBR
B13,B13
B14,BRN
B15,BGR
B16,MMR
B17,B17
B18,BEN
B19,BDI
B20,BTN
B21,BLZ
B22,BFA
B23,BIH
B24,BLR
B25,BVT
B26,GBN
C01,KHM
C02,CMR
C03,CAN
C04,C04
C05,CYM
C06,CAF
C07,LKA
C08,TCD
C09,CHL
C10,CHN
C11,COL
C12,COG
C13,CRI
C14,CUB
C15,C15
C16,CYP
C17,CZE
C18,CPV
C20,COM
C22,COK
C23,HRV
C25,CCK
C26,CXR
COD,COD
D02,D02
D03,DNK
D04,DOM
D05,NLD
D06,DIM
D07,D07
D08,DJI
D09,DMA
E01,E01
E02,ECU
E03,EGY
E05,ETH
E06,SLV
E07,GNQ
E08,EST
E09,ERI
E10,TMP
F01,FRO
F02,FJI
F03,FIN
F04,FRA
F05,FLK
F06,FXX
G01,GAB
G02,GMB
G03,DEU
G04,GHA
G05,GRC
G06,GRL
G07,GLP
G08,GTM
G09,GIN
G10,GUY
G11,GUM
G12,GRD
G13,GNB
G14,GEO
G15,GIB
G16,GUF
H01,HTI
H02,HND
H03,HUN
H04,HKG
H05,HMD
I01,ISL
I02,IND
I03,IDN
I04,IRN
I05,IRQ
I06,IRL
I07,ISR
I08,ITA
I09,CIV
I10,IOT
J01,JAM
J02,JPN
J03,JOR
K01,KEN
K02,KOR
K03,KWT
K04,KIR
K05,PRK
K06,KAZ
K07,KGZ
K08,RKS
L01,LAO
L02,LBN
L03,LSO
L04,LBR
L05,LBY
L06,LIE
L07,LUX
L08,LVA
L09,LTU
M02,MWI
M03,MYS
M04,MLI
M05,MLT
M06,MTQ
M07,MRT
M08,MEX
M10,MCO
M11,MNG
M12,MAR
M13,MOZ
M15,FSM
M16,MDV
M17,MUS
M18,MNP
M19,MDG
M20,MKD
M21,MDA
M22,TKM
M23,MHL
M24,MAC
M25,MNE
M26,MSR
M27,MYT
N01,NPL
N02,N02
N03,NZL
N04,NIC
N05,NER
N06,NGA
N07,NOR
N08,NRU
N09,NAM
N10,NCL
N11,NFK
N12,NIU
O01,OMN
P01,PAK
P02,PLT
P03,PAN
P04,PNG
P05,PRY
P06,PER
P07,PHL
P08,POL
P09,PRT
P10,P10
P11,PRI
P12,PLW
P13,PCN
P14,PYF
Q01,QAT
R01,REU
R03,ROU
R04,RUS
R05,RWA
S01,SLB
S04,SAU
S05,STP
S06,SCT
S07,SEN
S09,SLE
S10,SGP
S11,SOM
S12,ZAF
S13,ESP
S14,S14
S15,SDN
S16,SUR
S17,SWZ
S18,SWE
S19,CHE
S20,SYR
S21,XXA
S22,WSM
S23,SYC
S24,SMR
S26,LCA
S27,KNA
S28,VCT
S29,SVN
S30,SVK
S31,SGS
S32,SHN
S33,SJM
S34,SPM
S35,SRB
S36,SSD
T01,TWN
T02,TZA
T03,THA
T04,TGO
T05,TTO
T07,TUN
T08,TUR
T09,TON
T10,T10
T11,TUV
T12,TJK
T13,TCA
T14,TKL
TLS,TLS
U01,UGA
U03,URY
U04,ARE
U05,XXX
U06,UKR
U07,UZB
U08,UNO
U09,UMI
U10,UNA
U11,UTO
V01,VAT
V02,VEN
V03,VNM
V04,VUT
V06,VIS
W01,WLF
X01,XXB
X02,XXC
Y01,YEM
Y02,YUG
Y03,Y03
Z01,ZMB
Z02,ZAR
Z03,ZIM
Z04,ZWE
